"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01565617931257e-248,1.2523579994025,0.581,0.237,3.27904597491064e-244,"0","Ndrg1"
1.66698715729865e-246,1.99594358775883,0.431,0.144,5.3818680373387e-242,"0","Nkx2-3"
2.00426075821416e-246,2.31995721120593,0.378,0.114,6.47075585789441e-242,"0","Adamts4"
2.16580105815307e-245,1.3311518097513,0.698,0.381,6.99228871624719e-241,"0","Ctnnb1"
3.29076509150466e-242,0.718690637109476,0.974,0.9,1.06242350979228e-237,"0","Ptma"
2.43790678135005e-241,1.40055051205538,0.547,0.222,7.87078204358864e-237,"0","Tspan13"
5.52264513971133e-241,1.05961450455082,0.533,0.202,1.7829859833558e-236,"0","Swap70"
3.07859854296304e-240,1.87068477854982,0.397,0.124,9.93925539595617e-236,"0","Pde12"
1.59819097069792e-236,1.0736259535088,0.894,0.689,5.15975954889824e-232,"0","Itm2b"
3.41879180266167e-236,1.94871674992103,0.333,0.089,1.10375693348932e-231,"0","Atp8b1"
1.38403669265209e-235,0.845927334855087,0.935,0.734,4.46836246222727e-231,"0","Fosb"
4.86522304359482e-235,2.33496956069115,0.263,0.055,1.57073725962459e-230,"0","Tmem204"
8.73443912315266e-233,2.05089156501112,0.303,0.074,2.81991367090984e-228,"0","Ptk2"
1.05547483963849e-231,1.91411183930993,0.328,0.086,3.40760051977288e-227,"0","Fzd4"
1.2662057221304e-231,1.17103697003176,0.809,0.552,4.08794517389799e-227,"0","Tpm3"
4.75451187248172e-231,1.48439873110494,0.373,0.111,1.53499415803072e-226,"0","Flnb"
5.42220602946407e-231,1.51147631948005,0.606,0.3,1.75055921661248e-226,"0","Sertad1"
4.62327966062598e-230,1.49881416378416,0.61,0.301,1.4926258384331e-225,"0","S100a13"
3.46384115869296e-229,0.409918212763739,0.852,0.398,1.11830111808402e-224,"0","Sparc"
2.01413874125115e-228,1.79989895814018,0.466,0.176,6.50264692612933e-224,"0","Parp14"
8.72805817172623e-227,1.8175760044746,0.272,0.06,2.81785358074181e-222,"0","Fmnl3"
3.28141617568701e-225,1.38061222235357,0.636,0.32,1.05940521232055e-220,"0","Ets2"
3.9309530079288e-225,2.08164000748974,0.335,0.094,1.26910817860981e-220,"0","Myo10"
